"comuna","desertores","total","porcentaje_desertores"
CERRO NAVIA,14,26,0.5384615384615384
SAN JOAQUIN,12,25,0.48
ISLA DE MAIPO,16,39,0.41025641025641024
SAN RAMON,18,44,0.4090909090909091
LA PINTANA,27,77,0.35064935064935066
PUDAHUEL,28,87,0.3218390804597701
PEÑALOLEN,85,265,0.32075471698113206
RENCA,33,104,0.3173076923076923
HUECHURABA,26,84,0.30952380952380953
LAMPA,15,50,0.3
EL BOSQUE,45,152,0.29605263157894735
ESTACION CENTRAL,41,139,0.2949640287769784
PEDRO AGUIRRE CERDA,12,42,0.2857142857142857
PAINE,22,82,0.2682926829268293
QUINTA NORMAL,31,119,0.2605042016806723
INDEPENDENCIA,28,109,0.25688073394495414
PADRE HURTADO,10,39,0.2564102564102564
PEÑAFLOR,19,75,0.25333333333333335
COLINA,72,290,0.2482758620689655
RECOLETA,39,160,0.24375
SAN BERNARDO,75,316,0.23734177215189872
CERRILLOS,16,69,0.2318840579710145
BUIN,38,166,0.2289156626506024
PUENTE ALTO,160,700,0.22857142857142856
SAN MIGUEL,48,210,0.22857142857142856
TALAGANTE,50,220,0.22727272727272727
LA CISTERNA,39,174,0.22413793103448276
CALERA DE TANGO,8,36,0.2222222222222222
PROVIDENCIA,180,811,0.2219482120838471
SANTIAGO,324,1461,0.22176591375770022
ÑUÑOA,103,476,0.21638655462184875
CURACAVI,10,47,0.2127659574468085
LO ESPEJO,7,33,0.21212121212121213
MELIPILLA,43,205,0.2097560975609756
MAIPU,168,812,0.20689655172413793
LA REINA,64,315,0.20317460317460317
LA FLORIDA,105,525,0.2
QUILICURA,51,257,0.19844357976653695
LAS CONDES,164,839,0.19547079856972585
MACUL,19,101,0.18811881188118812
CONCHALI,8,44,0.18181818181818182
LA GRANJA,11,63,0.1746031746031746
VITACURA,91,524,0.1736641221374046
LO BARNECHEA,80,463,0.17278617710583152
