"AGNO_EGRESO","MRUN","gen_alu","rango_edad","fec_nac_alu","NEM","PERCENTIL","comuna","region","COD_DEPE2","cat_periodo","nomb_inst","comuna_sede","nomb_carrera","codigo_demre","puntaje_carrera","acreditada_carr","jornada","modalidad","valor_matricula","valor_arancel","area_conocimiento","anio_ing_carr_ori","ultimo_agno","duracion_carrera","permanencia","pct_permanencia","desercion"
2017,2748,1,"15 a 19 años",199905,"6,5",20,SANTIAGO,13,1,2018,UNIVERSIDAD DE CHILE,SANTIAGO,INGENIERIA COMERCIAL,"11042",715.9330628915662651,ACREDITADA,Diurno,Presencial,"134500","5083000",Administración y Comercio,2018,2022,5,5,1.00000000000000000000,0
2017,4920,1,"15 a 19 años",199907,"6",50,SANTIAGO,13,1,2018,UNIVERSIDAD DE VALPARAISO,VALPARAISO,ADMINISTRACION PUBLICA,"19068",615.5008818181818182,ACREDITADA,Diurno,Presencial,"159000","2255000",Ciencias Sociales,2018,2024,5,7,1.4000000000000000,0
2017,5643,2,"15 a 19 años",199907,"5,95",30,INDEPENDENCIA,13,2,2018,UNIVERSIDAD DE SANTIAGO DE CHILE,ESTACION CENTRAL,PEDAGOGIA EN CASTELLANO / LICENCIATURA EN EDUCACION EN CASTELLANO,"16050",673.7364854166666667,ACREDITADA,Diurno,Presencial,"133000","2432000",Educación,2018,2022,5,5,1.00000000000000000000,0
2017,6546,2,"15 a 19 años",199911,"6,48",10,PUENTE ALTO,13,2,2018,UNIVERSIDAD DE SANTIAGO DE CHILE,ESTACION CENTRAL,PSICOLOGIA / LICENCIATURA EN PSICOLOGIA,"16060",709.4709238095238095,ACREDITADA,Diurno,Presencial,"133000","3269000",Ciencias Sociales,2018,2024,5,7,1.4000000000000000,0
2017,6852,1,"15 a 19 años",199902,"6",70,VITACURA,13,3,2018,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,MACUL,COLLEGE CIENCIAS SOCIALES (LICENCIATURA),"12028",663.1246570247933884,NO ACREDITADA,Diurno,Presencial,"120000","5011000",Ciencias Sociales,2018,2019,4,2,0.50000000000000000000,1
2017,13036,2,"15 a 19 años",199912,"6,1",50,PROVIDENCIA,13,1,2018,UNIVERSIDAD DE CHILE,SANTIAGO,TRABAJO SOCIAL,"11520",663.8683484375000000,NO ACREDITADA,Diurno,Presencial,"134500","3184400",Ciencias Sociales,2018,2022,5,5,1.00000000000000000000,0
2017,13323,1,"15 a 19 años",199910,"5,8",20,PUENTE ALTO,13,1,2018,UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION,ÑUÑOA,"LICENCIATURA EN EDUCACION CON MENCION EN HISTORIA O GEOGRAFIA Y PEDAGOGIA EN HISTORIA, GEOGRAFIA Y EDUCACION CIVICA","20076",647.9664126760563380,ACREDITADA,Diurno,Presencial,"155000","2275000",Educación,2018,2022,5,5,1.00000000000000000000,0
2017,20022,1,"15 a 19 años",199901,"6,83",10,LA REINA,13,3,2018,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,SANTIAGO,MEDICINA,"12058",811.1106275510204082,ACREDITADA,Diurno,Presencial,"120000","6418000",Salud,2018,2023,7,6,0.85714285714285714286,1
2017,22697,2,"15 a 19 años",199907,"6,53",20,VITACURA,13,3,2018,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,MACUL,INGENIERIA CIVIL,"12039",769.2056234859675037,ACREDITADA,Diurno,Presencial,"120000","6141000",Tecnología,2018,2024,6,7,1.1666666666666667,0
2017,23641,2,"15 a 19 años",199910,"6,15",20,LA REINA,13,2,2018,UNIVERSIDAD DE CHILE,SANTIAGO,ARQUITECTURA,"11001",672.7023890784982935,ACREDITADA,Diurno,Presencial,"134500","3976100",Arte y Arquitectura,2018,2024,6,7,1.1666666666666667,0
