COD_DEPE2_desc,comuna,total_students,desertors,desertion_rate
Corp. De Administración Delegada (DL 3166),ESTACION CENTRAL,14,8,0.5714285714285714
Corp. De Administración Delegada (DL 3166),LA CISTERNA,9,2,0.2222222222222222
Corp. De Administración Delegada (DL 3166),MAIPU,14,2,0.14285714285714285
Corp. De Administración Delegada (DL 3166),PEDRO AGUIRRE CERDA,4,3,0.75
Corp. De Administración Delegada (DL 3166),QUINTA NORMAL,18,7,0.3888888888888889
Corp. De Administración Delegada (DL 3166),RECOLETA,23,12,0.5217391304347826
Corp. De Administración Delegada (DL 3166),RENCA,6,2,0.3333333333333333
Corp. De Administración Delegada (DL 3166),SAN BERNARDO,14,4,0.2857142857142857
Corp. De Administración Delegada (DL 3166),SAN JOAQUIN,7,3,0.42857142857142855
Corp. De Administración Delegada (DL 3166),SAN MIGUEL,30,5,0.16666666666666666
Corp. De Administración Delegada (DL 3166),SAN RAMON,4,4,1.0
Corp. De Administración Delegada (DL 3166),SANTIAGO,55,18,0.32727272727272727
Corp. De Administración Delegada (DL 3166),ÑUÑOA,24,3,0.125
Municipal,BUIN,26,8,0.3076923076923077
Municipal,CALERA DE TANGO,1,1,1.0
Municipal,CERRILLOS,1,1,1.0
Municipal,CERRO NAVIA,16,10,0.625
Municipal,COLINA,73,26,0.3561643835616438
Municipal,CONCHALI,20,6,0.3
Municipal,CURACAVI,14,7,0.5
Municipal,EL BOSQUE,9,5,0.5555555555555556
Municipal,ESTACION CENTRAL,8,5,0.625
Municipal,HUECHURABA,4,3,0.75
Municipal,INDEPENDENCIA,25,7,0.28
Municipal,ISLA DE MAIPO,17,8,0.47058823529411764
Municipal,LA CISTERNA,23,9,0.391304347826087
Municipal,LA FLORIDA,35,7,0.2
Municipal,LA GRANJA,14,6,0.42857142857142855
Municipal,LA PINTANA,4,3,0.75
Municipal,LA REINA,15,4,0.26666666666666666
Municipal,LAMPA,8,4,0.5
Municipal,LAS CONDES,31,9,0.2903225806451613
