"AGNO_EGRESO","MRUN","cat_periodo","nomb_inst","comuna_sede","nomb_carrera","anio_ing_carr_ori","ultimo_agno","comuna","region","LATITUD","LONGITUD","COD_DEPE2","PERCENTIL","duracion_carrera","permanencia","pct_permanencia"
2017,2748,2018,UNIVERSIDAD DE CHILE,SANTIAGO,INGENIERIA COMERCIAL,2018,2022,SANTIAGO,13,"-33,4448709","-70,65030401",1,20,5,5,1.00000000000000000000
2017,4920,2018,UNIVERSIDAD DE VALPARAISO,VALPARAISO,ADMINISTRACION PUBLICA,2018,2024,SANTIAGO,13,"-33,4448709","-70,65030401",1,50,5,7,1.4000000000000000
2017,5643,2018,UNIVERSIDAD DE SANTIAGO DE CHILE,ESTACION CENTRAL,PEDAGOGIA EN CASTELLANO / LICENCIATURA EN EDUCACION EN CASTELLANO,2018,2022,INDEPENDENCIA,13,"-33,41775922","-70,67122612",2,30,5,5,1.00000000000000000000
2017,6546,2018,UNIVERSIDAD DE SANTIAGO DE CHILE,ESTACION CENTRAL,PSICOLOGIA / LICENCIATURA EN PSICOLOGIA,2018,2024,PUENTE ALTO,13,"-33,62512164","-70,58110658",2,10,5,7,1.4000000000000000
2017,6852,2018,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,MACUL,COLLEGE CIENCIAS SOCIALES (LICENCIATURA),2018,2019,VITACURA,13,"-33,380274","-70,53482",3,70,4,2,0.50000000000000000000
2017,13036,2018,UNIVERSIDAD DE CHILE,SANTIAGO,TRABAJO SOCIAL,2018,2022,PROVIDENCIA,13,"-33,44343308","-70,6257531",1,50,5,5,1.00000000000000000000
2017,13323,2018,UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION,ÑUÑOA,"LICENCIATURA EN EDUCACION CON MENCION EN HISTORIA O GEOGRAFIA Y PEDAGOGIA EN HISTORIA, GEOGRAFIA Y EDUCACION CIVICA",2018,2022,PUENTE ALTO,13,"-33,62778915","-70,58716797",1,20,5,5,1.00000000000000000000
2017,20022,2018,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,SANTIAGO,MEDICINA,2018,2023,LA REINA,13,"-33,437946","-70,56862",3,10,7,6,0.85714285714285714286
2017,22697,2018,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,MACUL,INGENIERIA CIVIL,2018,2024,VITACURA,13,"-33,378682","-70,55175",3,20,6,7,1.1666666666666667
2017,23641,2018,UNIVERSIDAD DE CHILE,SANTIAGO,ARQUITECTURA,2018,2024,LA REINA,13,"-33,4493415","-70,57075135",2,20,6,7,1.1666666666666667
2017,29557,2018,UNIVERSIDAD DE CHILE,SANTIAGO,PERIODISMO,2018,2022,PUENTE ALTO,13,"-33,61016534","-70,55280896",2,10,5,5,1.00000000000000000000
2017,31941,2018,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,MACUL,COLLEGE CIENCIAS SOCIALES (LICENCIATURA),2018,2023,LAS CONDES,13,"-33,398006","-70,56839",3,10,4,6,1.5000000000000000
2017,35181,2018,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,MACUL,COLLEGE CIENCIAS NATURALES Y MATEMATICAS (LICENCIATURA),2018,2023,BUIN,13,"-33,760725","-70,74182",3,40,4,6,1.5000000000000000
2017,38842,2018,UNIVERSIDAD DE SANTIAGO DE CHILE,ESTACION CENTRAL,TECNOLOGIA EN ADMINISTRACION DE PERSONAL,2018,2024,SANTIAGO,13,"-33,45174348","-70,66186461",2,70,3,7,2.3333333333333333
2017,39643,2018,UNIVERSIDAD DE SANTIAGO DE CHILE,ESTACION CENTRAL,INGENIERIA CIVIL EN ELECTRICIDAD,2018,2024,SANTIAGO,13,"-33,4448709","-70,65030401",1,40,6,7,1.1666666666666667
2017,48885,2018,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,MACUL,INGENIERIA CIVIL,2018,2023,SANTIAGO,13,"-33,4448709","-70,65030401",1,20,6,6,1.00000000000000000000
2017,49427,2018,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,VITACURA,INGENIERIA COMERCIAL,2018,2023,SANTIAGO,13,"-33,447065","-70,65616",3,50,5,6,1.2000000000000000
2017,49518,2018,UNIVERSIDAD DE CHILE,SANTIAGO,QUIMICA,2018,2024,PROVIDENCIA,13,"-33,44343308","-70,6257531",1,30,6,7,1.1666666666666667
2017,49519,2018,UNIVERSIDAD DE CHILE,SANTIAGO,PEDAGOGIA EN EDUCACION MEDIA EN BIOLOGIA Y QUIMICA,2018,2020,PROVIDENCIA,13,"-33,42206965","-70,60482084",1,30,5,3,0.60000000000000000000
2017,49688,2018,UNIVERSIDAD TECNOLOGICA METROPOLITANA,PROVIDENCIA,CONTADOR PUBLICO AUDITOR,2018,2023,RECOLETA,13,"-33,40708328","-70,64873606",2,40,4,6,1.3333333333333333
2017,50653,2018,UNIVERSIDAD TECNOLOGICA METROPOLITANA,ÑUÑOA,INGENIERIA EN BIOTECNOLOGIA,2018,2024,CONCHALI,13,"-33,37273641","-70,68165689",1,10,5,7,1.4000000000000000
2017,62123,2018,UNIVERSIDAD DE CHILE,SANTIAGO,BIOQUIMICA,2018,2024,PEÑALOLEN,13,"-33,491563","-70,57566",3,20,6,7,1.1666666666666667
2017,67282,2018,UNIVERSIDAD TECNOLOGICA METROPOLITANA,ÑUÑOA,INGENIERIA CIVIL INDUSTRIAL,2018,2022,PUENTE ALTO,13,"-33,59597265","-70,58664948",2,60,6,5,0.83333333333333333333
2017,69142,2018,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,VIÑA DEL MAR,TECNICO UNIVERSITARIO EN MECANICA AUTOMOTRIZ,2018,2019,MELIPILLA,13,"-33,68046191","-71,19277794",2,70,3,2,0.66666666666666666667
